Order ID,Grouped
176560,"Google Phone,Wired Headphones"
176574,"Google Phone,USB-C Charging Cable"
176585,"Bose SoundSport Headphones,Bose SoundSport Headphones"
176586,"AAA Batteries (4-pack),Google Phone"
176672,"Lightning Charging Cable,USB-C Charging Cable"
176681,"Apple Airpods Headphones,ThinkPad Laptop"
176689,"Bose SoundSport Headphones,AAA Batteries (4-pack)"
176739,"34in Ultrawide Monitor,Google Phone"
176774,"Lightning Charging Cable,USB-C Charging Cable"
176781,"iPhone,Lightning Charging Cable"
176797,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
176805,"Google Phone,USB-C Charging Cable"
176808,"Google Phone,Wired Headphones"
176813,"Google Phone,Wired Headphones"
176935,"AAA Batteries (4-pack),27in FHD Monitor"
176975,"USB-C Charging Cable,AAA Batteries (4-pack)"
176989,"Google Phone,USB-C Charging Cable"
176993,"iPhone,Wired Headphones"
177022,"iPhone,Wired Headphones"
177102,"iPhone,27in 4K Gaming Monitor"
177115,"iPhone,Lightning Charging Cable"
177117,"ThinkPad Laptop,AAA Batteries (4-pack)"
177167,"iPhone,Apple Airpods Headphones,AAA Batteries (4-pack)"
177178,"iPhone,Lightning Charging Cable"
177181,"Wired Headphones,Apple Airpods Headphones"
177182,"Macbook Pro Laptop,ThinkPad Laptop"
177184,"AA Batteries (4-pack),Flatscreen TV"
177198,"Vareebadd Phone,USB-C Charging Cable"
177201,"USB-C Charging Cable,Lightning Charging Cable"
177213,"iPhone,Lightning Charging Cable"
177228,"Google Phone,AA Batteries (4-pack)"
177254,"AA Batteries (4-pack),AAA Batteries (4-pack)"
177256,"Bose SoundSport Headphones,AA Batteries (4-pack)"
177300,"20in Monitor,Apple Airpods Headphones"
177367,"Google Phone,USB-C Charging Cable,Bose SoundSport Headphones"
177398,"27in FHD Monitor,AAA Batteries (4-pack)"
177428,"Vareebadd Phone,USB-C Charging Cable"
177441,"iPhone,Lightning Charging Cable"
177443,"Apple Airpods Headphones,27in 4K Gaming Monitor"
177448,"Google Phone,USB-C Charging Cable"
177486,"ThinkPad Laptop,Google Phone"
177504,"Google Phone,USB-C Charging Cable"
177506,"iPhone,Apple Airpods Headphones"
177511,"iPhone,Lightning Charging Cable"
177569,"Wired Headphones,Google Phone"
177578,"Google Phone,USB-C Charging Cable"
177582,"Bose SoundSport Headphones,Wired Headphones"
177592,"iPhone,Lightning Charging Cable"
177638,"Apple Airpods Headphones,Google Phone"
177681,"AAA Batteries (4-pack),Macbook Pro Laptop"
177719,"Google Phone,USB-C Charging Cable"
177758,"USB-C Charging Cable,Lightning Charging Cable"
177769,"iPhone,Lightning Charging Cable"
177778,"iPhone,Apple Airpods Headphones"
177782,"Lightning Charging Cable,27in 4K Gaming Monitor"
177795,"Apple Airpods Headphones,Apple Airpods Headphones"
177800,"Google Phone,USB-C Charging Cable,Wired Headphones"
177815,"Apple Airpods Headphones,Lightning Charging Cable"
177861,"AA Batteries (4-pack),Apple Airpods Headphones"
177874,"iPhone,Apple Airpods Headphones"
177971,"iPhone,Lightning Charging Cable"
177996,"iPhone,Lightning Charging Cable"
178009,"34in Ultrawide Monitor,USB-C Charging Cable"
178029,"iPhone,Apple Airpods Headphones"
178106,"AAA Batteries (4-pack),Wired Headphones"
178118,"iPhone,AAA Batteries (4-pack)"
178135,"Lightning Charging Cable,AA Batteries (4-pack)"
178137,"Lightning Charging Cable,AA Batteries (4-pack)"
178158,"Google Phone,USB-C Charging Cable,Wired Headphones,USB-C Charging Cable"
178162,"iPhone,Lightning Charging Cable"
178168,"AA Batteries (4-pack),Macbook Pro Laptop"
178190,"Vareebadd Phone,Wired Headphones"
178221,"Flatscreen TV,Lightning Charging Cable"
178242,"iPhone,Lightning Charging Cable"
178258,"iPhone,Apple Airpods Headphones"
178280,"iPhone,Lightning Charging Cable"
178290,"Wired Headphones,ThinkPad Laptop"
178404,"Bose SoundSport Headphones,USB-C Charging Cable"
178412,"Vareebadd Phone,Wired Headphones"
178432,"Bose SoundSport Headphones,USB-C Charging Cable"
178523,"USB-C Charging Cable,20in Monitor"
178525,"AAA Batteries (4-pack),AA Batteries (4-pack)"
178527,"AA Batteries (4-pack),Bose SoundSport Headphones"
178572,"USB-C Charging Cable,27in 4K Gaming Monitor"
178749,"iPhone,Lightning Charging Cable"
178781,"Google Phone,Wired Headphones"
178825,"iPhone,Apple Airpods Headphones"
178886,"Google Phone,Wired Headphones"
178954,"Google Phone,USB-C Charging Cable"
178989,"Vareebadd Phone,USB-C Charging Cable"
178990,"Google Phone,USB-C Charging Cable"
179000,"iPhone,Lightning Charging Cable"
179028,"27in 4K Gaming Monitor,Bose SoundSport Headphones"
179057,"Google Phone,USB-C Charging Cable"
179076,"Google Phone,USB-C Charging Cable"
179108,"Lightning Charging Cable,AAA Batteries (4-pack)"
179128,"iPhone,Apple Airpods Headphones"
179162,"Google Phone,USB-C Charging Cable"
179226,"34in Ultrawide Monitor,Macbook Pro Laptop"
179270,"iPhone,Lightning Charging Cable"
179311,"Wired Headphones,USB-C Charging Cable"
179328,"Wired Headphones,AA Batteries (4-pack)"
179340,"Macbook Pro Laptop,Apple Airpods Headphones"
179357,"Google Phone,USB-C Charging Cable"
179377,"USB-C Charging Cable,AA Batteries (4-pack)"
179379,"Google Phone,Bose SoundSport Headphones"
179434,"Macbook Pro Laptop,20in Monitor"
179453,"iPhone,Wired Headphones"
179485,"Vareebadd Phone,USB-C Charging Cable"
179514,"Google Phone,USB-C Charging Cable"
179530,"Google Phone,USB-C Charging Cable"
179538,"Vareebadd Phone,Bose SoundSport Headphones"
179540,"iPhone,Lightning Charging Cable"
179544,"Wired Headphones,Flatscreen TV"
179653,"AA Batteries (4-pack),Flatscreen TV"
179745,"Google Phone,USB-C Charging Cable"
179808,"USB-C Charging Cable,27in FHD Monitor"
179820,"Google Phone,USB-C Charging Cable"
179835,"Google Phone,Wired Headphones"
179837,"Google Phone,USB-C Charging Cable"
179885,"20in Monitor,Bose SoundSport Headphones"
179944,"Flatscreen TV,AA Batteries (4-pack)"
179966,"iPhone,Lightning Charging Cable"
179969,"Google Phone,Wired Headphones"
179998,"iPhone,Apple Airpods Headphones"
180000,"iPhone,Lightning Charging Cable"
180031,"Vareebadd Phone,USB-C Charging Cable"
180108,"Bose SoundSport Headphones,AA Batteries (4-pack)"
180135,"Google Phone,Wired Headphones"
180161,"USB-C Charging Cable,ThinkPad Laptop"
180207,"Apple Airpods Headphones,Apple Airpods Headphones"
180213,"27in FHD Monitor,AAA Batteries (4-pack)"
180227,"USB-C Charging Cable,Bose SoundSport Headphones"
180237,"iPhone,AAA Batteries (4-pack)"
180322,"USB-C Charging Cable,iPhone"
180333,"AA Batteries (4-pack),Wired Headphones"
180353,"27in FHD Monitor,AA Batteries (4-pack)"
180365,"Lightning Charging Cable,Google Phone"
180370,"Google Phone,USB-C Charging Cable"
180382,"AA Batteries (4-pack),AAA Batteries (4-pack)"
180397,"AA Batteries (4-pack),Apple Airpods Headphones"
180399,"iPhone,Lightning Charging Cable"
180406,"Bose SoundSport Headphones,Lightning Charging Cable"
